author,reviewer,Feedback,Time,Assignment,Round,,,
D1051827,D0746235,是，很棒,9/26/2022 17:49,HW1,1,,,
D1051827,D0746235,是 ，整齊，但tab不符合規範,9/26/2022 17:49,HW1,1,,,
D1051827,D0746235,是,9/26/2022 17:49,HW1,1,,,
D1051827,D0746235,是,9/26/2022 17:49,HW1,1,,,
D1051827,D0746235,是,9/26/2022 17:49,HW1,1,,,
D1051827,D0746235,沒有輸入Java Doc,9/26/2022 17:49,HW1,1,,,
D1051827,D0746235,符合題目要求,9/30/2022 11:09,HW1,2,,,
D1051827,D0746235,是 非常整齊,9/30/2022 11:09,HW1,2,,,
D1051827,D0746235,是,9/30/2022 11:09,HW1,2,,,
D1051827,D0746235,是,9/30/2022 11:09,HW1,2,,,
D1051827,D0746235,是,9/30/2022 11:09,HW1,2,,,
D1051827,D0746235,註解符合Java Doc規範，也滿清楚的,9/30/2022 11:09,HW1,2,,,
D1051861,D0746163,是,9/27/2022 21:15,HW1,1,,,
D1051861,D0746163,是,9/27/2022 21:15,HW1,1,,,
D1051861,D0746163,是,9/27/2022 21:15,HW1,1,,,
D1051861,D0746163,是,9/27/2022 21:15,HW1,1,,,
D1051861,D0746163,是,9/27/2022 21:15,HW1,1,,,
D1051861,D0746163,沒有javadoc,9/27/2022 21:15,HW1,1,,,
D1051861,D0746163,NULL,NULL,HW1,2,,,
D1051916,D0751292,"System.out.println(Hello World"");""",9/27/2022 10:38,HW1,1,,,
D1051916,D0751292,,9/27/2022 10:38,HW1,1,,,
D1051916,D0751292,,9/27/2022 10:38,HW1,1,,,
D1051916,D0751292,,9/27/2022 10:38,HW1,1,,,
D1051916,D0751292,,9/27/2022 10:38,HW1,1,,,
D1051916,D0751292,,9/27/2022 10:38,HW1,1,,,
D1051916,D0751292,,9/30/2022 17:15,HW1,2,,,
D1051916,D0751292,,9/30/2022 17:15,HW1,2,,,
D1051916,D0751292,,9/30/2022 17:15,HW1,2,,,
D1051916,D0751292,,9/30/2022 17:15,HW1,2,,,
D1051916,D0751292,,9/30/2022 17:15,HW1,2,,,
D1051916,D0751292,,9/30/2022 17:15,HW1,2,,,
D1051929,D0785683,,9/27/2022 20:12,HW1,1,,,
D1051929,D0785683,,9/27/2022 20:12,HW1,1,,,
D1051929,D0785683,,9/27/2022 20:12,HW1,1,,,
D1051929,D0785683,,9/27/2022 20:12,HW1,1,,,
D1051929,D0785683,,9/27/2022 20:12,HW1,1,,,
D1051929,D0785683,沒有JavaDoc,9/27/2022 20:12,HW1,1,,,
D1051929,D0785683,NULL,NULL,HW1,2,,,
D1051959,D0843601,有阿,9/27/2022 18:08,HW1,1,,,
D1051959,D0843601,跟我家一樣整齊,9/27/2022 18:08,HW1,1,,,
D1051959,D0843601,有的,9/27/2022 18:08,HW1,1,,,
D1051959,D0843601,完美,9/27/2022 18:08,HW1,1,,,
D1051959,D0843601,太強了,9/27/2022 18:08,HW1,1,,,
D1051959,D0843601,沒有JavaDoc，太壞了吧,9/27/2022 18:08,HW1,1,,,
D1051959,D0843601,Good,9/29/2022 2:35,HW1,2,,,
D1051959,D0843601,Perfect,9/29/2022 2:35,HW1,2,,,
D1051959,D0843601,Excellent,9/29/2022 2:35,HW1,2,,,
D1051959,D0843601,Great,9/29/2022 2:35,HW1,2,,,
D1051959,D0843601,Awesome,9/29/2022 2:35,HW1,2,,,
D1051959,D0843601,Dynamite,9/29/2022 2:35,HW1,2,,,
D1072770,D1009269,"Hello World!"" not ""hello world"" """,9/26/2022 17:51,HW1,1,,,
D1072770,D1009269,,9/26/2022 17:51,HW1,1,,,
D1072770,D1009269,,9/26/2022 17:51,HW1,1,,,
D1072770,D1009269,,9/26/2022 17:51,HW1,1,,,
D1072770,D1009269,,9/26/2022 17:51,HW1,1,,,
D1072770,D1009269,,9/26/2022 17:51,HW1,1,,,
D1072770,D1009269,Hello World! not hello world,10/1/2022 11:17,HW1,2,,,
D1072770,D1009269,,10/1/2022 11:17,HW1,2,,,
D1072770,D1009269,,10/1/2022 11:17,HW1,2,,,
D1072770,D1009269,,10/1/2022 11:17,HW1,2,,,
D1072770,D1009269,,10/1/2022 11:17,HW1,2,,,
D1072770,D1009269,,10/1/2022 11:17,HW1,2,,,
D1073027,D1009299,未完成作業,9/26/2022 17:51,HW1,1,,,
D1073027,D1009299,很整齊,9/26/2022 17:51,HW1,1,,,
D1073027,D1009299,,9/26/2022 17:51,HW1,1,,,
D1073027,D1009299,,9/26/2022 17:51,HW1,1,,,
D1073027,D1009299,,9/26/2022 17:51,HW1,1,,,
D1073027,D1009299,沒有JavaDoc,9/26/2022 17:51,HW1,1,,,
D1073027,D1009299,NULL,NULL,HW1,2,,,
D1076758,D1010467,,9/26/2022 17:51,HW1,1,,,
D1076758,D1010467,,9/26/2022 17:51,HW1,1,,,
D1076758,D1010467,,9/26/2022 17:51,HW1,1,,,
D1076758,D1010467,,9/26/2022 17:51,HW1,1,,,
D1076758,D1010467,,9/26/2022 17:51,HW1,1,,,
D1076758,D1010467,,9/26/2022 17:51,HW1,1,,,
D1076758,D1010467,NULL,NULL,HW1,2,,,
D1076789,D1011175,是,9/26/2022 17:52,HW1,1,,,
D1076789,D1011175,是,9/26/2022 17:52,HW1,1,,,
D1076789,D1011175,式,9/26/2022 17:52,HW1,1,,,
D1076789,D1011175,,9/26/2022 17:52,HW1,1,,,
D1076789,D1011175,式,9/26/2022 17:52,HW1,1,,,
D1076789,D1011175,否,9/26/2022 17:52,HW1,1,,,
D1076789,D1011175,NULL,NULL,HW1,2,,,
D1090417,D1011264,"似乎沒有耶......？我這邊沒看到QAQ
",9/26/2022 17:53,HW1,1,,,
D1090417,D1011264,是的喔！,9/26/2022 17:53,HW1,1,,,
D1090417,D1011264,這次不需要來著,9/26/2022 17:53,HW1,1,,,
D1090417,D1011264,是的,9/26/2022 17:53,HW1,1,,,
D1090417,D1011264,棒棒搭~,9/26/2022 17:53,HW1,1,,,
D1090417,D1011264,太趕了，我懂,9/26/2022 17:53,HW1,1,,,
D1090417,D1011264,沒有印出HelloWord呢,10/1/2022 20:06,HW1,2,,,
D1090417,D1011264,空格要用space不是tab喔~,10/1/2022 20:06,HW1,2,,,
D1090417,D1011264,這次不用印變數,10/1/2022 20:06,HW1,2,,,
D1090417,D1011264,完美~,10/1/2022 20:06,HW1,2,,,
D1090417,D1011264,目前不用,10/1/2022 20:06,HW1,2,,,
D1090417,D1011264,沒有打JAVADoc,10/1/2022 20:06,HW1,2,,,
D1090420,D1012323,muy bien,9/26/2022 17:49,HW1,1,,,
D1090420,D1012323,muy bien,9/26/2022 17:49,HW1,1,,,
D1090420,D1012323,muy bien,9/26/2022 17:49,HW1,1,,,
D1090420,D1012323,muy bien,9/26/2022 17:49,HW1,1,,,
D1090420,D1012323,muy bien,9/26/2022 17:49,HW1,1,,,
D1090420,D1012323,muy bien,9/26/2022 17:49,HW1,1,,,
D1090420,D1012323,NULL,NULL,HW1,2,,,
D1090434,D1018467,可,9/26/2022 17:56,HW1,1,,,
D1090434,D1018467,可,9/26/2022 17:56,HW1,1,,,
D1090434,D1018467,可,9/26/2022 17:56,HW1,1,,,
D1090434,D1018467,可,9/26/2022 17:56,HW1,1,,,
D1090434,D1018467,可,9/26/2022 17:56,HW1,1,,,
D1090434,D1018467,可,9/26/2022 17:56,HW1,1,,,
D1090434,D1018467,,10/1/2022 20:28,HW1,2,,,
D1090434,D1018467,,10/1/2022 20:28,HW1,2,,,
D1090434,D1018467,,10/1/2022 20:28,HW1,2,,,
D1090434,D1018467,,10/1/2022 20:28,HW1,2,,,
D1090434,D1018467,,10/1/2022 20:28,HW1,2,,,
D1090434,D1018467,,10/1/2022 20:28,HW1,2,,,
